Route,Best_Model,Month,Actual_detections,Predicted_detections
Central Mediterranean Route,BASELINE,2025-03-01,2407.0,3329.0
Central Mediterranean Route,BASELINE,2025-04-01,6578.0,2407.0
Central Mediterranean Route,BASELINE,2025-05-01,7199.0,6578.0
Central Mediterranean Route,BASELINE,2025-06-01,7149.0,7199.0
Central Mediterranean Route,BASELINE,2025-07-01,6488.0,7149.0
Central Mediterranean Route,BASELINE,2025-08-01,6148.0,6488.0
Central Mediterranean Route,BASELINE,2025-09-01,8350.0,6148.0
Central Mediterranean Route,BASELINE,2025-10-01,7965.0,8350.0
Central Mediterranean Route,BASELINE,2025-11-01,4361.0,7965.0
Central Mediterranean Route,BASELINE,2025-12-01,3071.0,4361.0
Eastern Mediterranean Route,LIGHTGBM,2025-05-01,3560.0,3767.439415758892
Eastern Mediterranean Route,LIGHTGBM,2025-06-01,5020.0,3322.0662738011506
Eastern Mediterranean Route,LIGHTGBM,2025-07-01,7150.0,6537.013206279244
Eastern Mediterranean Route,LIGHTGBM,2025-08-01,4105.0,10231.303896129983
Eastern Mediterranean Route,LIGHTGBM,2025-09-01,5390.0,4567.214531718109
Eastern Mediterranean Route,LIGHTGBM,2025-10-01,5637.0,4301.560332422146
Eastern Mediterranean Route,LIGHTGBM,2025-11-01,3638.0,6766.931093462824
Eastern Mediterranean Route,LIGHTGBM,2025-12-01,5664.0,3476.3769602168927
Western African Route,BASELINE,2025-03-01,2267.0,2467.0
Western African Route,BASELINE,2025-04-01,1023.0,2267.0
Western African Route,BASELINE,2025-05-01,542.0,1023.0
Western African Route,BASELINE,2025-06-01,388.0,542.0
Western African Route,BASELINE,2025-07-01,175.0,388.0
Western African Route,BASELINE,2025-08-01,570.0,175.0
Western African Route,BASELINE,2025-09-01,703.0,570.0
Western African Route,BASELINE,2025-10-01,1258.0,703.0
Western African Route,BASELINE,2025-11-01,2708.0,1258.0
Western African Route,BASELINE,2025-12-01,1048.0,2708.0
Western Balkan Route,BASELINE,2025-03-01,788.0,639.0
Western Balkan Route,BASELINE,2025-04-01,1170.0,788.0
Western Balkan Route,BASELINE,2025-05-01,788.0,1170.0
Western Balkan Route,BASELINE,2025-06-01,974.0,788.0
Western Balkan Route,BASELINE,2025-07-01,1413.0,974.0
Western Balkan Route,BASELINE,2025-08-01,1251.0,1413.0
Western Balkan Route,BASELINE,2025-09-01,1217.0,1251.0
Western Balkan Route,BASELINE,2025-10-01,1472.0,1217.0
Western Balkan Route,BASELINE,2025-11-01,1171.0,1472.0
Western Balkan Route,BASELINE,2025-12-01,804.0,1171.0
